CaseID,WeightMethod,Interval_RMSE,CDF_Start,CDF_End,Interval_Name
8,quadratic,0.0115782311487931,0.2,0.4,0.2-0.4
8,quadratic,0.0125163800712445,0.4,0.6,0.4-0.6
8,quadratic,0.0197097312804018,0.6,0.8,0.6-0.8
8,quadratic,0.0065594449224041,0.8,1,0.8-1.0
8,quadratic,0.0130783569713957,0,1,0-1.0
1,exponential,0.0248211905650129,0,0.2,0-0.2
1,exponential,0.0345843382433789,0.2,0.4,0.2-0.4
1,exponential,0.0211048452993935,0.4,0.6,0.4-0.6
1,exponential,0.0196453492391415,0.6,0.8,0.6-0.8
1,exponential,0.0210507247695957,0.8,1,0.8-1.0
1,exponential,0.0247342949473911,0,1,0-1.0
2,exponential,0.0571005601781564,0,0.2,0-0.2
2,exponential,0.031557697377829,0.2,0.4,0.2-0.4
2,exponential,0.00948033485014853,0.4,0.6,0.4-0.6
2,exponential,0.0221568352777961,0.6,0.8,0.6-0.8
2,exponential,0.0214574258580036,0.8,1,0.8-1.0
2,exponential,0.0322866853271855,0,1,0-1.0
3,exponential,0.0564482043812024,0,0.2,0-0.2
3,exponential,0.0367185922652794,0.2,0.4,0.2-0.4
3,exponential,0.0273519355603838,0.4,0.6,0.4-0.6
3,exponential,0.0366836905673341,0.6,0.8,0.6-0.8
3,exponential,0.021574242395782,0.8,1,0.8-1.0
3,exponential,0.0374489970184738,0,1,0-1.0
4,exponential,0.0276159237244049,0,0.2,0-0.2
4,exponential,0.0250782961054564,0.2,0.4,0.2-0.4
4,exponential,0.0376985477350021,0.4,0.6,0.4-0.6
4,exponential,0.0168959715718607,0.6,0.8,0.6-0.8
4,exponential,0.00675596755320092,0.8,1,0.8-1.0
4,exponential,0.0252437743574574,0,1,0-1.0
5,exponential,0.0106454344631377,0,0.2,0-0.2
5,exponential,0.0227443304474887,0.2,0.4,0.2-0.4
5,exponential,0.0240898679213726,0.4,0.6,0.4-0.6
5,exponential,0.0191121475270302,0.6,0.8,0.6-0.8
5,exponential,0.0274349058941723,0.8,1,0.8-1.0
5,exponential,0.0216081077314089,0,1,0-1.0
6,exponential,0.0199208889834233,0,0.2,0-0.2
6,exponential,0.0185592221950797,0.2,0.4,0.2-0.4
6,exponential,0.0246342760593988,0.4,0.6,0.4-0.6
6,exponential,0.0247599321869393,0.6,0.8,0.6-0.8
6,exponential,0.0194075275610433,0.8,1,0.8-1.0
6,exponential,0.0216305036568498,0,1,0-1.0
7,exponential,0.0196064732623339,0,0.2,0-0.2
7,exponential,0.0278460963592384,0.2,0.4,0.2-0.4
7,exponential,0.0299746698450641,0.4,0.6,0.4-0.6
7,exponential,0.0210489092308088,0.6,0.8,0.6-0.8
7,exponential,0.0130145096759817,0.8,1,0.8-1.0
7,exponential,0.0232194297413607,0,1,0-1.0
8,exponential,0.00925913824314442,0,0.2,0-0.2
8,exponential,0.0115881158260896,0.2,0.4,0.2-0.4
8,exponential,0.0124577321567627,0.4,0.6,0.4-0.6
8,exponential,0.0199821071773762,0.6,0.8,0.6-0.8
8,exponential,0.00657330086113105,0.8,1,0.8-1.0
8,exponential,0.0127883075608406,0,1,0-1.0
